order_item_id,order_id,product_id,quantity,unit_price
1,1,22,3,13900
2,2,60,3,2000
3,2,75,1,6000
4,2,41,1,1900
5,2,58,1,3300
6,3,24,2,1800
7,3,21,3,2100
8,3,55,3,1200
9,4,42,3,8000
10,4,75,3,6000
11,5,64,2,3100
12,5,48,2,5500
13,5,75,1,6000
14,5,31,2,2500
15,6,28,3,1900
16,6,22,3,13900
17,6,53,3,3500
18,6,35,2,1400
19,7,71,2,4000
20,7,44,2,6700
21,8,7,1,2700
22,8,25,1,14000
23,9,71,1,4000
24,9,45,2,8700
25,9,40,1,1400
26,10,35,2,1400
27,10,31,3,2500
28,10,53,2,3500
29,11,26,3,18600
30,11,31,1,2500
31,12,42,2,8000
32,12,19,1,4100
33,12,40,1,1400
34,13,32,2,800
35,13,15,3,1800
36,14,45,2,8700
37,14,58,1,3300
38,14,22,3,13900
39,15,17,3,12600
40,15,73,1,5300
41,16,19,3,4100
42,16,45,3,8700
43,17,79,2,7000
44,17,19,1,4100
45,18,2,3,1200
46,18,72,2,6900
47,19,13,1,11900
48,19,54,1,1100
49,19,50,3,11300
50,20,45,2,8700
51,21,71,2,4000
52,21,79,3,7000
53,21,73,1,5300
54,22,64,3,3100
55,22,29,2,900
56,23,24,2,1800
57,24,15,3,1800
58,25,26,1,18600
59,26,57,1,800
60,26,51,1,6800
61,27,13,1,11900
62,27,29,2,900
63,28,54,2,1100
64,29,58,2,3300
65,29,77,2,4000
66,29,53,2,3500
67,29,36,2,1400
68,30,74,1,7500
69,30,14,2,7300
70,30,76,2,5400
71,30,16,2,3600
72,31,62,3,2700
73,31,27,2,400
74,31,53,1,3500
75,32,50,2,11300
76,32,10,3,4200
77,33,29,1,900
78,33,77,1,4000
79,34,43,2,1600
80,34,46,2,2500
81,35,40,1,1400
82,35,33,2,2700
83,36,43,1,1600
84,37,33,3,2700
85,37,58,3,3300
86,38,70,3,6900
87,39,50,2,11300
88,40,34,2,2500
89,40,32,3,800
90,41,56,2,3900
91,41,3,3,2600
92,41,38,2,300
93,41,1,2,2200
94,42,3,3,2600
95,42,68,1,6400
96,43,45,3,8700
97,44,74,1,7500
98,44,79,1,7000
99,44,29,2,900
