order_id,customer_id,order_date,status,payment_method
1,1,2024-12-19,completed,クレジットカード
2,1,2024-03-18,completed,クレジットカード
3,1,2024-03-18,completed,コンビニ払い
4,1,2024-09-29,completed,クレジットカード
5,2,2024-07-16,completed,コンビニ払い
6,2,2024-10-20,completed,クレジットカード
7,2,2024-08-15,completed,クレジットカード
8,4,2024-12-13,completed,電子マネー
9,4,2024-04-16,completed,電子マネー
10,4,2024-05-01,returned,クレジットカード
11,4,2024-04-18,completed,クレジットカード
12,4,2024-04-28,completed,電子マネー
13,4,2024-10-18,completed,コンビニ払い
14,4,2024-12-23,completed,クレジットカード
15,5,2024-09-13,completed,クレジットカード
16,5,2024-11-05,completed,クレジットカード
17,6,2024-10-21,completed,コンビニ払い
18,6,2024-11-20,completed,クレジットカード
19,6,2024-09-06,completed,クレジットカード
20,6,2024-11-05,completed,クレジットカード
21,6,2024-09-20,completed,クレジットカード
22,8,2024-08-03,completed,代金引換
23,8,2023-12-24,cancelled,電子マネー
24,9,2024-10-01,cancelled,クレジットカード
25,9,2024-09-29,completed,クレジットカード
26,9,2024-11-02,cancelled,クレジットカード
27,11,2024-11-10,completed,電子マネー
28,11,2024-06-15,completed,コンビニ払い
29,11,2024-08-21,completed,代金引換
30,12,2024-09-25,completed,クレジットカード
31,12,2024-07-24,completed,代金引換
32,12,2024-12-03,completed,コンビニ払い
33,12,2024-07-18,completed,電子マネー
34,14,2024-03-08,completed,クレジットカード
35,15,2024-11-09,completed,クレジットカード
36,16,2024-03-06,completed,クレジットカード
37,16,2024-04-27,completed,電子マネー
38,16,2024-03-11,completed,クレジットカード
39,16,2024-03-12,completed,代金引換
40,16,2024-03-13,completed,コンビニ払い
41,17,2023-10-05,completed,クレジットカード
42,17,2024-02-12,completed,代金引換
43,17,2024-10-08,completed,コンビニ払い
44,17,2024-06-21,completed,クレジットカード
45,17,2024-03-22,completed,クレジットカード
46,17,2024-04-10,completed,クレジットカード
47,18,2024-05-12,completed,コンビニ払い
48,19,2024-08-24,completed,コンビニ払い
49,20,2024-11-17,completed,クレジットカード
50,20,2024-11-05,completed,電子マネー
51,20,2024-04-29,completed,クレジットカード
52,21,2024-10-18,completed,コンビニ払い
53,21,2024-09-04,completed,電子マネー
54,21,2024-10-13,completed,コンビニ払い
55,22,2024-01-08,completed,クレジットカード
56,22,2024-10-29,completed,クレジットカード
57,22,2024-03-20,completed,コンビニ払い
58,22,2024-04-25,completed,クレジットカード
59,22,2024-12-13,completed,クレジットカード
60,22,2024-03-29,cancelled,コンビニ払い
61,22,2023-11-07,completed,コンビニ払い
62,22,2024-05-19,completed,クレジットカード
63,22,2024-03-09,completed,代金引換
64,22,2024-12-05,completed,クレジットカード
65,22,2023-10-14,completed,クレジットカード
66,23,2024-08-10,completed,クレジットカード
67,23,2024-11-23,completed,クレジットカード
68,23,2024-09-30,completed,電子マネー
69,23,2024-11-05,completed,クレジットカード
70,24,2024-05-16,completed,クレジットカード
71,24,2024-06-10,cancelled,コンビニ払い
72,24,2024-05-26,completed,代金引換
73,25,2024-07-15,completed,クレジットカード
74,25,2024-08-02,completed,クレジットカード
75,25,2024-12-02,completed,コンビニ払い
76,27,2024-09-22,completed,クレジットカード
77,27,2023-12-02,completed,電子マネー
78,27,2023-12-04,completed,クレジットカード
79,27,2023-07-08,completed,コンビニ払い
80,27,2023-08-10,cancelled,コンビニ払い
81,27,2024-10-04,completed,電子マネー
82,27,2024-01-10,completed,コンビニ払い
