respondent_id,age_group,gender,region,membership,satisfaction,q_quality,q_price,q_support,recommend_score,heard_from,free_comment
1,40代,男性,関東,有料会員,3,4,3.0,3.0,3.0,広告,改善に期待
2,40代,男性,関東,有料会員,4,5,3.0,3.0,8.0,友人・知人,
3,20代,回答しない,近畿,無料会員,3,4,2.0,5.0,6.0,SNS,
4,50代,女性,関東,無料会員,2,3,4.0,3.0,3.0,検索,動作が重い
5,40代,女性,関東,無料会員,2,3,4.0,2.0,1.0,友人・知人,動作が重い
6,40代,女性,近畿,無料会員,3,2,3.0,2.0,7.0,SNS,
7,20代,女性,近畿,無料会員,4,5,4.0,3.0,8.0,検索,コスパが良い
8,60代以上,女性,近畿,無料会員,2,2,2.0,5.0,6.0,友人・知人,解約しづらい
9,40代,女性,九州・沖縄,有料会員,4,5,5.0,3.0,9.0,友人・知人,デザインが好き
10,30代,回答しない,関東,無料会員,3,4,3.0,3.0,5.0,検索,特になし
11,40代,男性,北海道・東北,無料会員,4,4,1.0,4.0,10.0,広告,使いやすい
12,40代,男性,九州・沖縄,無料会員,4,4,3.0,3.0,6.0,広告,デザインが好き
13,50代,女性,中部,有料会員,3,4,3.0,4.0,4.0,SNS,改善に期待
14,30代,女性,九州・沖縄,無料会員,3,4,2.0,2.0,8.0,検索,普通
15,20代,女性,近畿,無料会員,2,3,2.0,2.0,4.0,広告,値段が高い
16,40代,女性,関東,有料会員,4,4,4.0,5.0,10.0,友人・知人,サポートが丁寧
17,30代,男性,中部,有料会員,3,4,2.0,2.0,7.0,友人・知人,普通
18,30代,男性,近畿,無料会員,3,4,3.0,3.0,,検索,
19,40代,女性,北海道・東北,無料会員,3,4,3.0,4.0,8.0,SNS,
20,30代,男性,北海道・東北,無料会員,3,3,2.0,3.0,6.0,友人・知人,特になし
21,60代以上,女性,関東,無料会員,2,3,3.0,3.0,4.0,検索,値段が高い
22,40代,女性,九州・沖縄,無料会員,2,2,2.0,3.0,4.0,友人・知人,解約しづらい
23,40代,男性,関東,無料会員,3,4,2.0,3.0,8.0,広告,改善に期待
24,20代,女性,近畿,有料会員,4,5,5.0,4.0,6.0,友人・知人,デザインが好き
25,20代,女性,関東,有料会員,5,4,4.0,3.0,8.0,友人・知人,サポートが丁寧
26,30代,男性,関東,無料会員,3,3,3.0,,6.0,SNS,普通
27,40代,男性,近畿,有料会員,4,4,5.0,4.0,8.0,メディア記事,コスパが良い
28,40代,男性,関東,有料会員,3,5,4.0,2.0,8.0,SNS,特になし
29,40代,女性,関東,無料会員,4,5,3.0,3.0,9.0,検索,使いやすい
30,20代,男性,関東,有料会員,4,3,4.0,5.0,9.0,その他,サポートが丁寧
